description	التصنيف
لحم وترميم و دهان جانب من الجبس	دهانات وترميمات
توريد وتركيب مقبض للباب الجرار	أبواب ونوافذ
توريد وتركيب خلاط حوض إيطالي	سباكة ومياه
توريد وتركيب عجل و دليل لدرف الوحدات الخشبية	نجارة وأثاث
توريد وتركيب خشب مجرى للأدراج	نجارة وأثاث
توريد وتركيب كشاف إضاءة علوية وسفلية 12 وات خارج	كهرباء وإضاءة
توريد وتركيب كشاف عزب العرب 30 وات	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
توريد وتركيب قضيب مجرى الألمونيوم م 10.65	نجارة وأثاث
أعمال صيانات وتلميع الرخام	رخام وأرضيات
تصنيع وتوريد وتركيب وحدة تخزين خشبيه (100*210*40)	نجارة وأثاث
حوض ستانلس ستيل (45*40) يشمل الصرف والتركيب	سباكة ومياه
خلاط مياه خلاط يدوي ايطالي	سباكة ومياه
سخان مياه فوري سيمانس 9 كيلو	سباكة ومياه
توريد وتركيب محبس زاوية للمياه	سباكة ومياه
توريد وتركيب وصلة مياه اسمارت 1 متر	سباكة ومياه
توريد وتغيير طقم مقبس كهربائي عاده وقوه جانب الوارمر	كهرباء وإضاءة
توريد وتغيير لمبة ديكور 4 وات	كهرباء وإضاءة
توريد وتغيير ستارة هواء مقاس 90	تكييف وتهوية
توريد وتغيير مفصلة للدرف الخشبية	نجارة وأثاث
توريد وتغيير مقبضي 10 سم ستانلس ستيل	أبواب ونوافذ
توريد وتغيير عجلات الترولي	ترولي ومعدات
توريد وتركيب خشب mdf (80×90)	نجارة وأثاث
صيان وتغير مقبض الباب المخزن	أبواب ونوافذ
تغطيه كبلات الكهربا المكشوفه باعلي الوحده وتم تركيب 4 كشافات طوارق باعلي الوحدة	كهرباء وإضاءة
شهادة السلامه المهنية	أنظمة الحريق والسلامة
توريد وتركيب كشاف 10 وات وارم	كهرباء وإضاءة
توريد وتغييركشاف موجه 30 وات وارم	كهرباء وإضاءة
توريد وتغيير حرف u اللافتة	صيانة عامة
توريد وتغيير لمبة ديكور 7 وات	كهرباء وإضاءة
توريد وتركيب خلاط حوض ساخن و بارد	سباكة ومياه
توريد وتغيير مقبض درف	نجارة وأثاث
توريد وتغيير ماكينة زجاج+ مفصله سفلي	أبواب ونوافذ
صيانة وإصلاح الباب الزجاجي للفرع	أبواب ونوافذ
صيانة باب الفرع + تغير لقمة الحامل	أبواب ونوافذ
توريد وتغيير ماكينة غلق الباب الزجاجي	أبواب ونوافذ
توريد وتغيير مفصلة باب الفرع	أبواب ونوافذ
توريد وتركيب بوط 10 ×10 لكاميرة	صيانة عامة
توريد وتغييركشاف موجه مروحة 30 وات وارم	كهرباء وإضاءة
توريد وتركيب سلك +خرطوم كاميرا تكمل في المخزن	صيانة عامة
توريد وتغيير لمبة ديكور 4 وات	كهرباء وإضاءة
توريد وتركيب لمبة 120 سم مع الشاسيه	كهرباء وإضاءة
توريد وتركيب كشاف سبوت دبلة	كهرباء وإضاءة
توريد وتركيب كشاف لوحة إضاءة 20 وات عز العرب	كهرباء وإضاءة
صيانة وإعادة تشغيل إنارة اللافتة	صيانة عامة
لحام الحوض بالسيليكون و المراجعة ع الصرف	سباكة ومياه
توريد وتغيير كشاف موفر للطاقة 30 وات الفرنسية	كهرباء وإضاءة
لحام شريط ليد وإعادة تثبيت	كهرباء وإضاءة
توريد وتركيب عجلة للترولي	ترولي ومعدات
توريد وتركيب محول كهربائي 25 أمبير	كهرباء وإضاءة
توريد وتركيب شطاف خارجي الأصيل	سباكة ومياه
توريد وتركيب صرف + مكنة+ طقم مسمار للإعادة	سباكة ومياه
توريد وتركيب لمبة ديكور+دواية ديكور في المخزن	كهرباء وإضاءة
توريد وتركيب مقبض باب 30 سم	أبواب ونوافذ
توريد وتركيب دولاب لوكر مقاس 190×110	صيانة عامة
توريد وتركيب خلاط بارد للحمام	سباكة ومياه
توريد وتركيب شفاط فريش (35×35) للحمام	تكييف وتهوية
توريد وتركيب مكينة غلق أوتوماتيك وتم تغيرها بسبب سوء استخدم	صيانة عامة
توريد وتركيب حلة 2حوض ستانلس ستيل + 2صرف	سباكة ومياه
توريد وتركيب محبس زاوية للمياه	سباكة ومياه
توريد وتركيب صرف حوض 1.5 بوصه	سباكة ومياه
دهان المخزن بالكامل طبقة نظافة نهائية	دهانات وترميمات
صيانة وإصلاح الفلتر القديم	سباكة ومياه
توريد وتركيب البلاط المكسور في الحمام	رخام وأرضيات
توريد وتركيب الكهرباء وتوصيلات المياه للسخن	كهرباء وإضاءة
توريد وتركيب خط تغذيه للحمام من الخارج بطول 10 م	سباكة ومياه
توريد وتركيب خط صرف للحوض مع غطاء 20*20	سباكة ومياه
توريد وتركيب سخان كهرباء فوري (سيمسان) والسعر يشمل	كهرباء وإضاءة
نقل وحدة تخزين في المخزن و تم صيانة خشب المخزن	نجارة وأثاث
تركيب قإعادة في الحمام تم نقلها من المقر	صيانة عامة
توريد وتركيب رخام 1.10 متر مع فك القديم وصيانة كاملة	رخام وأرضيات
توريد وتركيب كشاف 30 وات ماركة سيف	كهرباء وإضاءة
توريد وتركيب محول كهرباء محول طاقة A25	كهرباء وإضاءة
توريد وتركيب كشاف 20 وات وارم	كهرباء وإضاءة
توريد وتركيب كشاف لوحة إضاءة 30 وات عز العرب	كهرباء وإضاءة
توريد وتركيب كشاف شوكة + صيانة كشاف	كهرباء وإضاءة
توريد وتركيب كشاف موفر للطاقة 30 وات BM وارم	كهرباء وإضاءة
صيانة الصرف الخاصه بالباريستا	سباكة ومياه
صيانة وتركيب مفصلة داخل المخزن	نجارة وأثاث
